"","feature","notation","accuracy","value"
"1","q1","nl","incorrect",52.08
"2","q1","nl","correct",47.92
"3","q1","kv","incorrect",43.75
"4","q1","kv","correct",56.25
"5","q2","nl","incorrect",22.92
"6","q2","nl","correct",77.08
"7","q2","kv","incorrect",14.58
"8","q2","kv","correct",85.42
"9","q3","nl","incorrect",47.92
"10","q3","nl","correct",52.08
"11","q3","kv","incorrect",29.17
"12","q3","kv","correct",70.83
"13","q4","nl","incorrect",22.92
"14","q4","nl","correct",77.08
"15","q4","kv","incorrect",18.75
"16","q4","kv","correct",81.25
"17","q5","nl","incorrect",18.75
"18","q5","nl","correct",81.25
"19","q5","kv","incorrect",16.67
"20","q5","kv","correct",83.33
"21","q6","nl","incorrect",12.5
"22","q6","nl","correct",87.5
"23","q6","kv","incorrect",22.92
"24","q6","kv","correct",77.08
