"","Qual_fac","Occu_fac","Author","Researcher","User","Tutor","Student","PROGRAMMINGlangs","experience.r","interest.r"
"1","Master","Other","Yes","No","Yes","No","No","","No experience","High"
"2","Master","Other","No","No","Yes","Yes","No","","No experience","relatively high"
"3","PhD","(Senior) Lecturer","Yes","Yes","No","No","No","Javascript, Python, PHP, R, C","Experienced","relatively high"
"4","Master","Ph.D. student","No","No","Yes","No","Yes","Java, Python, C#, Javascript, PHP, R ","Experienced","relatively high"
"5","Master","Ph.D. student","Yes","No","No","No","Yes","Python, R, SQL, PyTorch ","Regular","Very High"
"6","Master","Researcher","Yes","No","Yes","No","No","","No experience","Relatively low"
"7","Master","Other","Yes","No","Yes","No","No","html C#","Beginner","High"
"8","PhD","Professor","Yes","Yes","Yes","No","No","Java, Javascript, PHP, Python, R","Regular","Relatively low"
"9","Master","Ph.D. student","Yes","No","No","No","Yes","Python, R, Bash, Tcl, Solidity, Javascript, PHP, Java","Experienced","Very High"
"10","Other","Professor","Yes","Yes","Yes","No","No","","No experience","Low"
"11","Master","Ph.D. student","Yes","N/A","Yes","Yes","N/A","Python, Java, JS, C#, PHP","Regular","High"
"12","Other","Bachelor student","Yes","No","No","No","Yes","Python, Java, SQL, CSS, HTML,","Beginner","relatively high"
"13","PhD","Post-doc","Yes","No","No","No","No","Around 50 languages, logic, functional, and oop Today Julia and Rust, but tach Java","Expert","Very High"
"14","PhD","(Senior) Lecturer","Yes","No","Yes","No","No","R, Matlab, Gauss, Fortran, Maple","Regular","relatively high"
"15","PhD","Other","Yes","Yes","Yes","No","No","Pascal at school R for research (basic level)","Beginner","relatively high"
"16","Other","Other","Yes","N/A","N/A","N/A","Yes","","No experience","Relatively low"
"17","Master","Other","No","No","No","No","No","C, Java and JavaScript","Beginner","Very low"
"18","Master","(Senior) Lecturer","Yes","Yes","Yes","No","No","","No experience","Low"
"19","Master","Researcher","No","Yes","No","No","No","","No experience","relatively high"
"20","PhD","(Senior) Lecturer","Yes","No","Yes","No","No","Clipper, Visual Basic, C++, Pascal, XOTCL, ooRexx, PHP, HTML","Experienced","High"
"21","PhD","Professor","Yes","No","Yes","No","No","Java, C++, C#, Python, Pearl","Regular","Relatively low"
"22","PhD","Researcher","No","No","Yes","No","No","Java, Python, JavaScript, C#, C++","Experienced","relatively high"
"23","Bachelor","Other","Yes","Yes","Yes","No","Yes","Javascript, Java, C","Beginner","Low"
"24","PhD","Professor","Yes","Yes","Yes","No","No","Java, C, C++, Python, Tcl, XoTcl, Javascript, R (and several more)","Experienced","Very High"
"25","PhD","Professor","Yes","Yes","Yes","No","No","C, C++, Pascal, Delphi, Java, Python, Matlab","Experienced","Very High"
"26","PhD","(Senior) Lecturer","Yes","No","Yes","No","No","","No experience","Very low"
"27","Bachelor","Master student","No","No","No","No","Yes","R","Beginner","Relatively low"
"28","Bachelor","Master student","No","No","No","No","Yes","R","Regular","Relatively low"
"29","Other","Bachelor student","No","No","No","No","Yes","Python C# C++ Java Stata SQL VBA PowerQuery(M)","Regular","High"
"30","Bachelor","Master student","No","No","Yes","No","Yes","R","Regular","relatively high"
"31","Other","Other","No","No","Yes","No","No","","No experience","Relatively low"
"32","Other","Bachelor student","No","No","No","Yes","Yes","C++, R studio","Experienced","High"
"33","Bachelor","Master student","No","No","No","No","Yes","R, Python","Beginner","relatively high"
"34","Master","Master student","No","No","No","No","Yes","","No experience","High"
"35","Bachelor","Master student","No","No","No","No","Yes","C, C++, Java, HTML/CSS, Matlab","Regular","Low"
"36","Bachelor","Bachelor student","No","No","No","No","Yes","R, stata","Regular","relatively high"
"37","Bachelor","Master student","No","No","No","No","Yes","R, Python, SQL, Stata","Experienced","High"
"38","Bachelor","Master student","N/A","N/A","N/A","N/A","Yes","","No experience","relatively high"
"39","Bachelor","Bachelor student","No","No","Yes","No","No","Python, R","Beginner","Relatively low"
"40","Master","Ph.D. student","Yes","No","No","No","No","","No experience","relatively high"
"41","Bachelor","Other","No","No","Yes","No","No","","No experience","Relatively low"
"42","Bachelor","Master student","N/A","N/A","N/A","N/A","Yes","Java,  c","Beginner","Very low"
"43","Other","Bachelor student","No","No","No","No","Yes","","No experience","Relatively low"
"44","Other","Bachelor student","No","No","Yes","No","Yes","Java","Regular","High"
"45","Other","Bachelor student","No","No","No","No","Yes","R, Python","Regular","Very High"
"46","Other","Bachelor student","No","No","No","No","Yes","R, Python, Html","Beginner","relatively high"
"47","Bachelor","Master student","No","No","No","No","Yes","R, Python, Javascript","Regular","relatively high"
"48","Bachelor","Master student","N/A","N/A","N/A","N/A","Yes","R (I’m a QFin student) , the very basics of Python and STATA (which I personally wouldn’t call programming language). So I just used them for QFin related things. ","Regular","High"
