"","subject","id","seed","ranking.CNL","ranking.KV"
"2",1,16,1206224602,"2nd place","1st place"
"4",2,19,91230360,"2nd place","1st place"
"5",3,20,1202244653,"2nd place","1st place"
"7",4,24,1824038329,"2nd place","1st place"
"8",5,26,648261524,"2nd place","1st place"
"9",6,27,1082741466,"2nd place","1st place"
"10",7,28,151743211,"1st place","2nd place"
"11",8,29,1875052859,"2nd place","1st place"
"14",9,33,724297500,"no preference","no preference"
"15",10,34,1198081260,"1st place","2nd place"
"16",11,35,19613739,"2nd place","1st place"
"17",12,36,1785924739,"2nd place","1st place"
"18",13,37,1832679888,"2nd place","1st place"
"19",14,38,1774807342,"no preference","no preference"
"21",15,40,1575895301,"1st place","2nd place"
"22",16,12,1164639921,"2nd place","1st place"
"23",17,13,1810830370,"2nd place","1st place"
"24",18,14,163196166,"2nd place","1st place"
"25",19,15,228850726,"1st place","2nd place"
"26",20,16,1656532740,"2nd place","1st place"
"28",21,18,1498688813,"2nd place","1st place"
"29",22,19,402530556,"1st place","2nd place"
"30",23,20,1427495181,"2nd place","1st place"
"33",24,23,752975415,"2nd place","1st place"
"36",25,16,1206224602,"2nd place","1st place"
"38",26,19,91230360,"2nd place","1st place"
"39",27,20,1202244653,"2nd place","1st place"
"41",28,24,1824038329,"2nd place","1st place"
"42",29,26,648261524,"2nd place","1st place"
"43",30,27,1082741466,"2nd place","1st place"
"44",31,28,151743211,"1st place","2nd place"
"45",32,29,1875052859,"2nd place","1st place"
"48",33,33,724297500,"no preference","no preference"
"49",34,34,1198081260,"1st place","2nd place"
"50",35,35,19613739,"2nd place","1st place"
"51",36,36,1785924739,"2nd place","1st place"
"52",37,37,1832679888,"2nd place","1st place"
"53",38,38,1774807342,"no preference","no preference"
"55",39,40,1575895301,"1st place","2nd place"
"56",40,12,1164639921,"2nd place","1st place"
"57",41,13,1810830370,"2nd place","1st place"
"58",42,14,163196166,"2nd place","1st place"
"59",43,15,228850726,"1st place","2nd place"
"60",44,16,1656532740,"2nd place","1st place"
"62",45,18,1498688813,"2nd place","1st place"
"63",46,19,402530556,"1st place","2nd place"
"64",47,20,1427495181,"2nd place","1st place"
"67",48,23,752975415,"2nd place","1st place"
