"TREATMENT1KVSUS[SQ001]. Please answer the following questions about the notation you just used: [I think that I would like to use this notation frequently.]","TREATMENT1KVSUS[SQ002]. Please answer the following questions about the notation you just used: [I find the notation unnecessarily complex.]","TREATMENT1KVSUS[SQ003]. Please answer the following questions about the notation you just used: [I think the notation would be easy to use.]","TREATMENT1KVSUS[SQ004]. Please answer the following questions about the notation you just used: [I think that I would need the support of a technical person*** to be able to use this notation.]","TREATMENT1KVSUS[SQ005]. Please answer the following questions about the notation you just used: [I find the various functions* in this notation are well integrated.]","TREATMENT1KVSUS[SQ006]. Please answer the following questions about the notation you just used: [I think there is too much inconsistency** in this notation.]","TREATMENT1KVSUS[SQ007]. Please answer the following questions about the notation you just used: [I would imagine that most people would learn to use this notation very quickly.]","TREATMENT1KVSUS[SQ008]. Please answer the following questions about the notation you just used: [I would find the notation very cumbersome to use.]","TREATMENT1KVSUS[SQ009]. Please answer the following questions about the notation you just used: [I would feel very confident using the notation.]","TREATMENT1KVSUS[SQ010]. Please answer the following questions about the notation you just used: [I would need to learn a lot of things before I could get going with this notation.]"
"A4","A2","A5","A1","A4","A2","A5","A2","A4","A1"
"A4","A2","A5","A1","A4","A1","A4","A4","A5","A1"
"A4","A1","A5","A1","A5","A1","A5","A2","A5","A2"
"A4","A1","A4","A1","A4","A1","A4","A1","A4","A1"
"A4","A1","A5","A2","A4","A1","A5","A3","A4","A2"
"A5","A1","A5","A2","A5","A1","A4","A1","A4","A2"
"A4","A1","A4","A1","A5","A1","A5","A1","A5","A3"
"A3","A1","A4","A1","A5","A1","A4","A2","A4","A2"
"A4","A1","A4","A1","A5","A1","A5","A2","A4","A3"
"A4","A2","A5","A1","A5","A1","A5","A1","A5","A1"
"A3","A4","A2","A4","A2","A3","A4","A3","A2","A2"
"A5","A1","A4","A1","A5","A2","A5","A1","A4","A1"
"A4","A3","A4","A1","A4","A1","A4","A2","A4","A1"
"A4","A1","A5","A1","A3","A1","A5","A2","A5","A1"
"A4","A1","A3","A2","A3","A1","A4","A3","A5","A1"
"A4","A1","A5","A1","A5","A1","A5","A3","A5","A1"
"A2","A1","A4","A1","A4","A1","A5","A2","A4","A1"
"A2","A2","A2","A2","A3","A3","A2","A4","A2","A4"
"A5","A1","A5","A2","A5","A1","A5","A1","A5","A5"
"A1","A4","A2","A4","A3","A5","A4","A4","A2","A3"
"A1","A5","A1","A5","A1","A5","A5","A1","A1","A5"
"A5","A1","A5","A1","A5","A1","A5","A1","A3","A1"
"A4","A2","A5","A1","A4","A2","A5","A1","A4","A2"
"A5","A1","A5","A1","A4","A1","A5","A1","A5","A1"
"A4","A1","A5","A1","A5","A1","A5","A1","A4","A1"
"A4","A1","A4","A2","A4","A1","A3","A2","A3","A2"
"A5","A1","A5","A2","A5","A1","A5","A1","A4","A1"
"A4","A2","A4","A1","A3","A1","A4","A4","A3","A2"
"A5","A1","A5","A1","A4","A1","A4","A2","A4","A1"
"A3","A3","A4","A1","A4","A2","A3","A1","A4","A2"
"A5","A2","A4","A2","A4","A1","A4","A2","A4","A1"
"A4","A2","A4","A2","A4","A2","A4","A2","A4","A2"
"A4","A2","A5","A1","A4","A2","A5","A1","A5","A1"
"A4","A2","A5","A1","A4","A1","A4","A1","A5","A1"
"A4","A2","A5","A1","A5","A1","A4","A2","A5","A1"
"A4","A2","A5","A1","A4","A2","A5","A4","A4","A2"
"A4","A2","A4","A2","A4","A2","A4","A3","A4","A2"
"A5","A1","A5","A1","A5","A2","A4","A2","A5","A1"
"A3","A1","A4","A1","A4","A1","A4","A2","A2","A1"
"A2","A3","A5","A1","A4","A1","A4","A1","A5","A1"
"A4","A2","A4","A3","A5","A1","A5","A4","A4","A2"
"A5","A1","A4","A1","A5","A3","A5","A1","A4","A1"
"A4","A3","A3","A1","A4","A3","A3","A2","A4","A1"
"A3","A3","A4","A4","A4","A3","A4","A2","A4","A4"
"A3","A2","A4","A2","A4","A2","A4","A2","A4","A2"
"A5","A1","A5","A1","A5","A1","A4","A1","A4","A1"
"A3","A3","A4","A1","A4","A2","A3","A4","A5","A3"
"A4","A1","A5","A1","A5","A2","A4","A1","A5","A1"
"A4","A2","A4","A1","A4","A2","A3","A2","A4","A1"
"A4","A2","A4","A1","A4","A2","A5","A3","A4","A2"
"A5","A1","A5","A1","A5","A1","A5","A1","A5","A1"
"A3","A1","A5","A1","A5","A1","A5","A2","A5","A1"
"A4","A2","A4","A3","A4","A3","A5","A1","A4","A1"
"A5","A1","A5","A3","A5","A1","A5","A2","A5","A1"
"A4","A5","A5","A1","A4","A3","A5","A1","A4","A2"
"A4","A2","A4","A2","A4","A2","A4","A4","A4","A2"
"A3","A2","A3","A3","A5","A1","A3","A3","A2","A4"
"A3","A3","A3","A3","A4","A3","A4","A4","A3","A3"
"A4","A1","A4","A1","A5","A1","A3","A1","A5","A1"
"A5","A1","A5","A1","A4","A1","A3","A1","A5","A1"
"A5","A5","A5","A1","A5","A1","A5","A5","A5","A1"
"A4","A1","A5","A1","A4","A1","A5","A1","A5","A1"
"A3","A3","A4","A2","A5","A2","A3","A3","A4","A2"
"A4","A1","A5","A1","A4","A1","A2","A1","A5","A2"
"A5","A1","A5","A1","A5","A1","A5","A1","A5","A1"
"A5","A1","A5","A1","A5","A1","A5","A1","A5","A2"
"A5","A1","A5","A1","A5","A1","A5","A5","A5","A1"

